Title,Main Price,Current Price,Store
"Sony LED TV KD65XG8096 65"" 4Κ Ultra HD",149.0,949.0,PLAISIO
"LG LED TV 86UM7600 86"" 4Κ Ultra HD",4149.0,2399.0,PLAISIO
"LG TV Monitor 28"" 28TL510S-WZ",199.0,189.0,PLAISIO
"Samsung QLED TV QE65Q950T 65"" 8K Ultra HD",6599.0,6599.0,PLAISIO
"LG TV Monitor 24"" 24TL510S-WZ",179.0,149.0,PLAISIO
"Samsung LED TV UE43TU8072 43"" 4Κ Ultra HD",489.0,399.0,PLAISIO
"Samsung QLED TV QE65Q60T 65"" 4Κ Ultra HD",1599.0,1199.0,PLAISIO
"Samsung LED TV UE50TU8072 50"" 4Κ Ultra HD",599.0,499.0,PLAISIO
"LG NanoCell TV 75SM9000 75"" 4Κ Ultra HD",2399.0,2099.0,PLAISIO
"Samsung LED TV UE55TU8502 55"" 4Κ Ultra HD",949.0,799.0,PLAISIO
"Samsung LED TV UE65TU8502 65"" 4Κ Ultra HD",134.0,999.0,PLAISIO
"Samsung LED TV UE43TU8502 43"" 4Κ Ultra HD",679.0,679.0,PLAISIO
"Samsung LED TV UE50TU8502 50"" 4Κ Ultra HD",829.0,829.0,PLAISIO
"Samsung LED TV UE75TU8072 75"" 4Κ Ultra HD",1699.0,1499.0,PLAISIO
"Samsung LED TV UE65TU8072 65"" 4Κ Ultra HD",949.0,799.0,PLAISIO
"Samsung LED TV UE55TU8072 55"" 4Κ Ultra HD",699.0,599.0,PLAISIO
"Samsung QLED TV QE75Q60T 75"" 4Κ Ultra HD",2399.0,1899.0,PLAISIO
"Samsung QLED TV QE65Q80T 65"" 4Κ Ultra HD",2399.0,2399.0,PLAISIO
"Samsung QLED TV QE75Q95T 75"" 4Κ Ultra HD",4899.0,4899.0,PLAISIO
"Samsung QLED TV QE75Q800T 75"" 8K Ultra HD",5999.0,5999.0,PLAISIO
"Samsung QLED TV QE55Q800T 55"" 8K Ultra HD",3299.0,3299.0,PLAISIO
"Samsung QLED TV QE75Q950T 75"" 8K Ultra HD",8799.0,8799.0,PLAISIO
"Samsung QLED TV QE85Q95T 85"" 4Κ Ultra HD",6599.0,6599.0,PLAISIO
"Samsung QLED TV QE75Q90T 75"" 4Κ Ultra HD",4399.0,4399.0,PLAISIO
"Samsung QLED TV QE75Q80T 75"" 4Κ Ultra HD",3799.0,3799.0,PLAISIO
"Samsung QLED TV QE85Q950T 85"" 8K Ultra HD",1319.0,13199.0,PLAISIO
"Samsung QLED TV QE75Q70T 75"" 4Κ Ultra HD",2999.0,2999.0,PLAISIO
"Samsung QLED TV QE55Q80T 55"" 4Κ Ultra HD",1799.0,1799.0,PLAISIO
"Samsung QLED TV QE55Q60T 55"" 4Κ Ultra HD",119.0,999.0,PLAISIO
"Samsung QLED TV QE55Q95T 55"" 4Κ Ultra HD",2399.0,2399.0,PLAISIO
"Samsung QLED TV QE65Q70T 65"" 4Κ Ultra HD",1799.0,1799.0,PLAISIO
"Samsung QLED TV QE55Q70T 55"" 4Κ Ultra HD",1399.0,1399.0,PLAISIO
"Samsung QLED TV QE49Q80T 49"" 4Κ Ultra HD",1499.0,1499.0,PLAISIO
"Samsung QLED TV QE85Q60T 85"" 4Κ Ultra HD",3799.0,3799.0,PLAISIO
"Samsung QLED TV QE82Q800T 82"" 8K Ultra HD",7699.0,7699.0,PLAISIO
"Samsung QLED TV QE85Q70T 85"" 4Κ Ultra HD",4399.0,4399.0,PLAISIO
"Samsung QLED TV QE85Q80T 85"" 4Κ Ultra HD",5499.0,5499.0,PLAISIO
"Samsung QLED TV QE65Q800T 65"" 8K Ultra HD",4399.0,4399.0,PLAISIO
"Samsung QLED TV QE50Q60T 50"" 4Κ Ultra HD",999.0,799.0,PLAISIO
"Samsung QLED TV QE65Q90T 65"" 4Κ Ultra HD",2799.0,2799.0,PLAISIO
"Samsung LED TV UE32T5302 32"" Full HD",329.0,329.0,PLAISIO
"LG TV Monitor 24"" 24TL510S-WZ",179.0,149.0,PLAISIO
"LG NanoCell TV 75SM9000 75"" 4Κ Ultra HD",2399.0,2099.0,PLAISIO
"Samsung LED TV UE43TU8502 43"" 4Κ Ultra HD",679.0,679.0,PLAISIO
"Samsung LED TV UE50TU8502 50"" 4Κ Ultra HD",829.0,829.0,PLAISIO
"Samsung QLED TV QE65Q950T 65"" 8K Ultra HD",6599.0,6599.0,PLAISIO
"Samsung QLED TV QE65Q950R 65"" 8K Ultra HD",4999.0,2999.0,PLAISIO
"Samsung QLED TV QE75Q950R 75"" 8K Ultra HD",6999.0,4499.0,PLAISIO
"Samsung QLED TV QE65Q60T 65"" 4Κ Ultra HD",1599.0,1199.0,PLAISIO
"Samsung LED TV UE50TU8072 50"" 4Κ Ultra HD",599.0,499.0,PLAISIO
"Samsung LED TV UE43TU8072 43"" 4Κ Ultra HD",489.0,399.0,PLAISIO
"Samsung LED TV UE55TU8502 55"" 4Κ Ultra HD",949.0,799.0,PLAISIO
"Samsung LED TV UE65TU8502 65"" 4Κ Ultra HD",134.0,999.0,PLAISIO
"Sony FULL LED TV KD65XG9505 65"" 4Κ Ultra HD",2849.0,1299.0,PLAISIO
"Sony LED TV KD75XG8096 75"" 4Κ Ultra HD",2549.0,1199.0,PLAISIO
"LG LED TV 50UM7450 50"" 4Κ Ultra HD",799.0,469.0,PLAISIO
"Sony FULL LED TV KD85XG9505 85"" 4Κ Ultra HD",4499.0,3399.0,PLAISIO
"Sony LED TV KD75XF9005 75"" 4Κ Ultra HD Smart",3499.0,2499.0,PLAISIO
"Sony LED TV KD65XF7096 65"" 4Κ Ultra HD Smart",119.0,729.0,PLAISIO
"Panasonic LED TV TX-65EX703 65"" 4Κ Ultra HD Smart",2149.0,2149.0,PLAISIO
"Panasonic OLED TV TX-65EZ950E 65"" 4Κ Ultra HD Smart",2099.0,2099.0,PLAISIO
"Sony LED TV KD85XF8596 85"" 4Κ Ultra HD Smart",4999.0,2249.0,PLAISIO
"Sony LED TV KD49XG7096 49"" 4Κ Ultra HD",899.0,649.0,PLAISIO
"LG NanoCell TV 86SM9000 86"" 4Κ Ultra HD",3499.0,3299.0,PLAISIO
"LG OLED TV OLED55E9 55"" 4Κ Ultra HD",3299.0,2299.0,PLAISIO
"LG OLED TV OLED65E9 65"" 4Κ Ultra HD",3299.0,3099.0,PLAISIO
"LG TV Monitor 24"" 24TL510V-PZ",159.0,139.0,PLAISIO
"LG LED TV 49UM7000 49"" 4Κ Ultra HD",699.0,429.0,PLAISIO
